"","Coral","PIC","Prevalence","SITE","DEPTH","Site_Depth"
"357","Astreopora","MKN9009",0,"IUI-S","25","IUI-S_25"
"358","Blastomussa","MKN9009",0,"IUI-S","25","IUI-S_25"
"359","Coscinaraea","MKN9009",0,"IUI-S","25","IUI-S_25"
"360","Cynarina","MKN9009",0,"IUI-S","25","IUI-S_25"
"361","Cyphastrea","MKN9009",0,"IUI-S","25","IUI-S_25"
"362","Dipsastraea","MKN9009",0,"IUI-S","25","IUI-S_25"
"363","Echinophyllia","MKN9009",0,"IUI-S","25","IUI-S_25"
"364","Echinopora","MKN9009",0,"IUI-S","25","IUI-S_25"
"365","Erythrastrea","MKN9009",0,"IUI-S","25","IUI-S_25"
"366","Euphyllia","MKN9009",0,"IUI-S","25","IUI-S_25"
"367","Favites","MKN9009",0,"IUI-S","25","IUI-S_25"
"368","Fungia","MKN9009",0,"IUI-S","25","IUI-S_25"
"369","Galaxea","MKN9009",0,"IUI-S","25","IUI-S_25"
"370","Goniastrea","MKN9009",0,"IUI-S","25","IUI-S_25"
"371","Goniopora","MKN9009",0,"IUI-S","25","IUI-S_25"
"372","Gyrosmilia","MKN9009",3,"IUI-S","25","IUI-S_25"
"373","HC","MKN9009",0,"IUI-S","25","IUI-S_25"
"374","Hydnophora","MKN9009",0,"IUI-S","25","IUI-S_25"
"375","Leptastrea","MKN9009",0,"IUI-S","25","IUI-S_25"
"376","Leptoseris","MKN9009",0,"IUI-S","25","IUI-S_25"
"377","Lobophyllia","MKN9009",0,"IUI-S","25","IUI-S_25"
"378","Madracis","MKN9009",0,"IUI-S","25","IUI-S_25"
"379","Merulina","MKN9009",0,"IUI-S","25","IUI-S_25"
"380","Montipora","MKN9009",0,"IUI-S","25","IUI-S_25"
"381","Mycedium","MKN9009",0,"IUI-S","25","IUI-S_25"
"382","Oxypora","MKN9009",0,"IUI-S","25","IUI-S_25"
"383","Pachyseris","MKN9009",0,"IUI-S","25","IUI-S_25"
"384","Paramontastraea","MKN9009",0,"IUI-S","25","IUI-S_25"
"385","Pavona","MKN9009",0,"IUI-S","25","IUI-S_25"
"386","Platygyra","MKN9009",0,"IUI-S","25","IUI-S_25"
"387","Plerogyra","MKN9009",0,"IUI-S","25","IUI-S_25"
"388","Pocillopora","MKN9009",0,"IUI-S","25","IUI-S_25"
